84285	94277298	ce2e8863-1036-11e8-8274-881df3c4ec81	Galla_Placidia	Monetazione	119883	120586	La prima emissione risale al 421, anno del breve regno di Costanzo III, e fu coniata dalla zecca di Ravenna; è però possibile che l'emissione sia brevemente proseguita fino alla partenza di Galla per la corte orientale. Consiste di un solido, di un semisse (forse da attribuire alla terza fase) e di un medaglione da 1½ solidi, tutti con la leggenda D N GALLA PLACIDIA P F AVG (tipica delle emissioni occidentali) al dritto.	0
27836	94972059	e762174d-1bc3-11e8-b02a-ca04d9de1e5e	Roger_Federer	Carriera sportiva	294375	294895	Con 54 vittorie Federer è lo svizzero con più vittorie nella storia della manifestazione davanti a Jakob Hlasek (49), Marc Rosset (37) e Heinz Günthardt (36). La sua percentuale di vittorie è la più alta tra i tennisti che hanno disputato più di venti incontri.	0
27836	94972059	e762174d-1bc3-11e8-b02a-ca04d9de1e5e	Roger_Federer	Rivalità con Rafael Nadal	297403	298160	Tra Roger Federer e Rafael Nadal sussiste da tempo una rivalità sportiva fra le più accese della storia del tennis, sebbene vada ricordato che alla forte rivalità sportiva corrisponde una grande amicizia personale e stima reciproca. I due hanno occupato le prime due posizioni del ranking ATP ininterrottamente per 4 anni, con l'elvetico primo e lo spagnolo secondo, fatta eccezione per il periodo da agosto 2008 a luglio 2009, in cui le posizioni si sono invertite; Nadal è stato successivamente relegato al terzo posto da Andy Murray nell'agosto 2009.	0
2065984	94490934	945d0698-12e8-11e8-91fd-9fdec53def8f	Eulero	Contributi matematici di Eulero	93071	94148	Eulero contribuì a sviluppare l'equazione di fascio di Eulero-Bernoulli, una pietra miliare dell'ingegneria. Eulero non solo risolse con successo molti problemi fisici ma, ebbe l'idea di applicare le stesse tecniche alla meccanica celeste. Realizzò vari lavori astronomici quali la determinazione esatta delle orbite delle comete e di altri corpi celesti, e il calcolo della parallasse del Sole.	0
2126310	93936365	68ded03c-12f0-11e8-9d97-9d42346962d2	Talete	Biografia	19218	19801	Diogene Laerzio riferisce ancora che Talete avrebbe sconsigliato un'alleanza antipersiana di Milèto con Creso, prevedendo la sconfitta di quest'ultimo. La tradizione narra anche che questo re avrebbe donato a Talete un Trìpode d'oro, in riconoscimento della sua grande sapienza; e con l'uso della sapienza sarebbe facile arricchire narrando come si arricchisse Talete il quale, prevedendo un'abbondante produzione di olive, affittò tutti i frantoi di un'ampia regione, monopolizzandone la molitura.	0
63359	94445741	ffd3703d-187c-11e8-9045-05db246b0ea4	Alain_Prost	Carriera	44429	45231	Ma il francese non era altrettanto ottimista, in quanto i motori BMW della Brabham, erano divenuti sempre più competitivi.Prost parlò dei suoi timori alla squadra, facendo notare che la capacità dei motori tedeschi di sopportare una maggiore pressione di sovralimentazione in prova avrebbe consentito al rivale Nelson Piquet di partirgli sempre davanti e la maggior potenza dei propulsori BMW della Brabham lo avrebbero reso impossibile da superare.	0
128385	94949391	cecddabf-1b18-11e8-81c9-de4b03aaf789	Rafael_Nadal	Carriera sportiva	200947	201117	A Miami arriva in finale ma perde dal rivale Novak Đoković per 3-6 3-6.	0
233538	94974938	e11d5f67-1bd2-11e8-9c95-4dc168d76fdf	Leonardo_da_Vinci	Campi di indagine, attività e interessi	259621	260359	Sono noti suoi disegni sia per la cupola del Duomo di Milano sia per edifici signorili, per i quali pensa a giardini pensili e a innovative soluzioni interne, come scale doppie e quadruple e nell'interno delle case «col molino farò generare vento d'ogni tempo della state; farò elevare l'acqua surgitiva e fresca, la quale passerà pel mezzo delle tavole divise [...] e altra acqua correrà pel giardino, adacquando li pomeranci e cedri ai lor bisogni [...] farassi, mediante il molino, molti condotti d'acque per casa, e fonti in diversi lochi, e alcuno transito dove, chi vi passerà, per tutte le parti di sotto salterà l'acque allo insù».	0
261856	93816658	6c83962e-1490-11e8-bd17-8673092a6eb2	Luigi_Maria_Grignion_de_Montfort	Biografia	32007	32223	L'esperienza eremitica durò circa un anno, nel marzo 1704 infatti Leschassier ricevette una lettera dall'ospedale di Poitiers che diceva:	0
60144	94758482	3fb979ac-1556-11e8-a1e1-89559967ff91	Lev_Tolstoj	Biografia	90022	90424	Nell'opera teatrale La potenza delle tenebre (1886) Tolstoj descrive la forza con cui l'egoismo e il vizio possono avviluppare l'anima umana, alla quale resta però sempre possibile il riscatto morale.	0
